CODGEO;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8
01001;15;20;75;95;100;125;145;30
01002;0;20;15;25;40;10;65;20
01004;2.80473564236469;300.150468135703;782.32859933022;1940.1962617727;1830.92531282066;1797.13342876704;2789.12033669687;1831.04561404984
01005;5.19408635653133;61.9902981834651;108.503108558594;237.313442696592;247.598151188356;237.081831703571;321.931875880272;154.443729151399
01006;0;0;5;25;15;15;25;5
01007;31.3129309289533;67.8891772323811;203.651687381427;374.954099760518;370.806348076634;322.753060938579;491.150022198166;229.753358208317
01008;0;14.9006622516556;49.6688741721854;144.039735099338;99.3377483443708;119.205298013245;134.105960264901;54.6357615894039
01009;0;25.9259259259259;5.18518518518519;77.7777777777778;41.4814814814815;25.9259259259259;77.7777777777778;31.1111111111111
01010;25.2017937219731;35.2825112107623;45.3632286995516;105.847533632287;176.412556053812;191.533632286996;176.412556053812;105.847533632287
01011;5.09308510638298;5.09308510638298;35.6515957446809;61.1170212765958;20.3723404255319;25.4654255319149;117.140957446809;25.4654255319149
01012;5.00002782863597;20.0001113145439;5.00002782863597;25.0001391431798;45.0002504577237;39.995686561425;105.000584401355;19.9955752468812
01013;5.13888888888889;5.13888888888889;10.2777777777778;20.5555555555556;20.5555555555556;30.8333333333333;15.4166666666667;10.2777777777778
01014;0;120.397268595906;95.3145043050921;265.877301482625;321.059382922415;591.953237263203;908.889061259885;476.57252152546
01015;4.94590417310665;9.8918083462133;79.1344667697064;84.080370942813;64.2967542503864;74.1885625965997;163.214837712519;59.3508500772798
01016;0;30.2429210010774;20.439104244262;45.9002524677331;45.8403632417946;51.1076051397168;100.178794624693;45.9658071987948
01017;5;0;5;15;55;65;125;80
01019;10.8333333333333;0;0;0;0;0;16.25;0
01021;4.80701754385997;57.6842105263196;129.789473684219;154.017543859655;168.964912280704;149.017543859659;288.421052631598;239.386452241642
01022;0;50;30;115;150;185;370;145
01023;4.76492432639191;4.76492432639191;4.76492432639191;4.76492432639191;4.76492432639191;23.8246216319595;9.52984865278382;0
01024;10.1838003208137;101.838003208137;188.400305935054;473.546714917838;458.271014436617;366.616811549294;661.947020852892;366.616811549294
01025;50.7996002966575;106.045852618038;166.304802451565;535.805437485502;529.02639020861;659.736669081764;746.373933749037;305.023484807727
01026;0;10.4353290701733;20.8370305978095;114.554517668656;119.90636797871;93.6695892620083;317.812934581576;70.6068776287866
01027;0;57.987883043898;177.398797205981;286.388685730255;1108.94709545463;418.513810128067;241.616179349575;151.840003758319
01028;10.0146161167744;20.1112168159713;25.1176900317787;79.9966162660983;84.7637416321378;104.470661811651;131.211462441353;49.7101103603563
01029;19.8817304271904;0;24.852163033988;59.6451912815713;89.467786922357;109.36382250018;159.082453718789;94.4715982139641
